0.0,88.4,33.3,71.3,inf,inf,35.8,inf,inf,inf,4.1,inf,inf,inf,inf
88.4,0,56.6,24.2,19.7,10.6,inf,inf,40.3,38.3,inf,inf,20.0,inf,inf
33.3,56.6,0,43.9,76.0,inf,6.4,41.0,49.8,inf,30.4,14.3,inf,inf,inf
71.3,24.2,43.9,0,38.3,18.9,47.2,39.2,inf,inf,inf,inf,inf,inf,inf
inf,19.7,76.0,38.3,0,19.4,inf,inf,inf,inf,inf,inf,4.5,inf,inf
inf,10.6,inf,18.9,19.4,0,inf,inf,inf,48.6,inf,inf,21.9,inf,inf
35.8,inf,6.4,47.2,inf,inf,0,47.4,45.9,inf,33.5,9.1,inf,28.2,13.9
inf,inf,41.0,39.2,inf,inf,47.4,0,inf,inf,inf,inf,inf,inf,inf
inf,40.3,49.8,inf,inf,inf,45.9,inf,0,7.1,inf,inf,inf,32.2,inf
inf,38.3,inf,inf,inf,48.6,inf,inf,7.1,0,inf,inf,inf,inf,inf
4.1,inf,30.4,inf,inf,inf,33.5,inf,inf,inf,0,33.0,inf,inf,inf
inf,inf,14.3,inf,inf,inf,9.1,inf,inf,inf,33.0,0,inf,24.3,11.2
inf,20.0,inf,inf,4.5,21.9,inf,inf,inf,inf,inf,inf,0,inf,inf
inf,inf,inf,inf,inf,inf,28.2,inf,32.2,inf,inf,24.3,inf,0,14.3
inf,inf,inf,inf,inf,inf,13.9,inf,inf,inf,inf,11.2,inf,14.3,0
